Words,Frequency
kuala,1
lumpur,1
malaysia,8
media,1
outreach,1
9,1
december,1
2020,3
in,15
dhl,15
ecommerce,7
solutions,9
a,8
division,1
of,11
deutsche,3
post,4
group,6
dpdhl,1
has,7
recorded,1
triple,1
digit,1
revenue,1
growth,4
the,23
third,1
quarter,2
corroborating,1
tremendous,1
e,4
commerce,4
region,2
equally,2
number,1
parcels,1
that,3
been,1
processing,1
monthly,1
doubled,1
to,18
approximately,2
90,1
000,3
pieces,2
per,2
day,2
from,2
year,1
ago,1
and,32
is,7
set,1
double,1
again,1
200,1
once,1
central,1
hub,1
facility,1
puchong,1
automated,1
first,2
2021,2
malaysia's,1
sector,1
expected,1
grow,1
at,1
24,1
7,1
will,5
reach,1
us,2
12,2
6,1
billion,2
by,5
2024,1
this,1
only,1
accelerate,1
pandemic,1
as,5
businesses,2
small,1
large,1
move,1
scale,1
online,3
shopping,1
becomes,1
increasingly,1
second,1
nature,1
consumers,4
said,1
kiattichai,1
pitpreecha,1
ceo,1
southeast,1
asia,1
we're,1
bolstering,1
our,4
network,3
depots,4
across,3
country,1
investing,1
automation,1
digitalization,1
increase,2
capacity,1
enhance,1
efficiency,1
provide,2
seamless,1
customer,1
experience,1
currently,1
45,1
which,1
serve,1
consolidation,1
distribution,1
centers,1
for,5
surrounding,1
community,1
company,2
added,3
five,1
new,1
be,2
opening,1
another,1
over,2
next,1
six,1
months,1
strengthen,1
its,3
last,1
mile,1
services,3
also,3
grown,1
retail,3
service,1
points,1
450,1
soon,1
introducing,1
app,1
book,1
track,1
find,1
shipments,1
deploying,1
chat,1
bot,1
facilitate,1
inquiries,1
anil,1
gautam,1
managing,1
director,1
deal,1
with,8
changing,1
market,2
dynamics,1
keep,1
pace,1
expansion,1
we,2
are,3
actively,1
recruiting,1
plans,1
workforce,1
more,3
than,3
60,1
end,1
see,1
massive,1
opportunities,1
klang,1
valley,1
but,1
witnessing,1
heightened,1
activities,1
east,1
spending,1
increases,1
i'm,1
confident,1
these,1
investments,1
into,1
people,2
technology,2
position,1
well,1
booming,1
internet,1
economy,1
driven,1
fast,1
growing,1
engaged,1
young,1
mobile,1
wave,1
tailored,1
nationwide,1
sellers,1
convenient,1
pick,1
up,1
drop,1
off,1
locations,1
catering,1
specifically,1
c2c,1
b2c,1
where,1
cash,2
capabilities,1
secure,2
delivery,4
key,1
it,1
introduced,1
value,1
products,1
such,1
on,1
daily,1
remittance,1
multi,1
piece,1
deliveries,1
one,1
time,1
password,1
based,1
leading,1
global,2
brand,1
logistics,4
industry,1
divisions,1
offer,1
an,1
unrivalled,1
portfolio,1
ranging,1
national,1
international,2
parcel,1
shipping,1
fulfillment,1
express,1
road,1
air,1
ocean,1
transport,1
industrial,1
supply,1
chain,1
management,1
about,1
380,1
employees,1
220,1
countries,1
territories,1
worldwide,1
connects,1
securely,1
reliably,1
enabling,1
sustainable,2
trade,1
flows,1
specialized,1
markets,1
industries,1
including,1
life,1
sciences,1
healthcare,1
engineering,1
manufacturing,1
&,1
energy,1
auto,1
mobility,1
decisively,1
positioned,1
world,2
part,1
generated,1
revenues,1
63,1
euros,1
2019,1
business,1
practices,1
commitment,1
society,1
environment,1
makes,1
positive,1
contribution,1
aims,1
achieve,1
zero,1
emissions,1
2050,1
